User ID,Name,Email,Wallet Address,Date Onboarded,Preprod Tx Hash,Form Submitted (Y/N),Rating,Notes
USR-001,Alex Rivera,alex.rivera@devnet.io,addr_test1qrq305gggtnru9skg9galfwtmnek6jnr48jp7upfurtwzemc6pg43p55tcpsutzefwvs77qps8vnvkc3vk70pq856n7sjn36sr,2026-09-01,b4f8d91a82c3e51f04b127390ab8d4e9c710f22491a67301c2ef389d71a0b5f1,Y,5,Verified on Cardano Preprod; requested ZK proof status stepper.
USR-002,Sarah Chen,sarah.chen@zktech.org,addr_test1qqqukvjusgm8smjlduxy5whk5zk5ul8k3snu5eucjfgumkez47hhxlpa5pn4culcwgsq4numq42y0dk4lrydnmqvrwhs2g5nht,2026-09-01,a1d3f92b74c8e10d2948197a0bc5e81f9301e23194a5c602b1df490a82b9c7d4,Y,4,Reported Lace wallet handshake timeout on page reload.
USR-003,Marcus Vance,marcus.vance@cardanomail.com,addr_test1qr8dh5q72xjdpgqz0vcsh4hetwquv7envg0kc02nqr3tp0xv60ah89gkcrtwvydwmsefs6ferpzk8978vad6khfzvf0qk3ynk6,2026-09-01,f9e8d7c6b5a40987654321fedcba098765432189abcdef0123456789abcdef01,Y,5,Suggested embedded in-dApp rating component.
USR-004,Elena Rostova,elena.rostova@privacylabs.net,addr_test1qpedctueh8ty94cxg2sdf5m82p9z5vclqfgd738ct7ygcl8re97wuraun8mtltzn80dvch0mswdshjetgwtrgkfxamqszlts6q,2026-09-02,c8d7e6f5a4b3021987654321fedcba098765432189abcdef0123456789abcdef02,Y,4,Requested tactile button click micro-animations.
USR-005,Kenji Sato,kenji.sato@blockdev.jp,addr_test1qzkqykuhk0ga2gcafpswnaq8jzgz0gdphfgfwyl0799qp3prlzcksp4j277efrwvxzzfsx2ydcswju8l6xc5grlg03as3clemu,2026-09-02,d9e8f7a6b5c4012987654321fedcba098765432189abcdef0123456789abcdef03,Y,5,Mobile hero typography wrap issue reported.
USR-006,David Miller,david.miller@crypto-vault.io,addr_test1qzx5y06p4wdg2v36nn8f3uc9q4j9a03xajesm6vj0jj45hvs6v3j7zre29ydvm5uuc9f0lpn2m7364cf948ujqj0allqtwdvyj,2026-09-02,e0f9a8b7c6d5023987654321fedcba098765432189abcdef0123456789abcdef04,Y,5,Bridge card hover glassmorphism elevation suggested.
USR-007,Priya Sharma,priya.sharma@chainlinkers.org,addr_test1qpafsw0mxnu54war6zk9fny9td4ksqf8f3y22jum3atp83kljjvej9520208r2hae70dhcqm8x0er7dtuzfjpxkqqnjq2zaxn0,2026-09-02,f1a0b9c8d7e6034987654321fedcba098765432189abcdef0123456789abcdef05,Y,4,Console deprecation warnings for Lucide icons noted.
USR-008,Thomas Wright,thomas.wright@preprod-node.net,addr_test1qrn0ejstdyvfnztpg64uk0fn32rqlply95qc3d4kv4rnd2cssrvyqm58grc8k2vrlva4gadt6g9xw9v630hs3xe4nheqscqhnx,2026-09-02,a2b1c0d9e8f7045987654321fedcba098765432189abcdef0123456789abcdef06,Y,5,Automated CI/CD build deployment requested.
USR-009,Linda Zhao,linda.zhao@zeroknowledge.ai,addr_test1qpxhxlvs979kn2wsqacmzyj3y67kd5kve6htxwnhzns3j8u4lmlqlf9udw7xdnmgjsgh8sy4vc3elds8wqq0pmg6nsusj0vcca,2026-09-03,b3c2d1e0f9a8056987654321fedcba098765432189abcdef0123456789abcdef07,Y,4,Smooth scroll behavior for page anchors requested.
USR-010,Carlos Gomez,carlos.gomez@midnight-devs.com,addr_test1qq57kx4pts6rls4jw2wkq7q6xnq5lyndhg0vr7x4tycn85954ps39c46nk45jh60g68kf63r0nyz5cgezsg2wvaj7ncs5r8cc9,2026-09-03,c4d3e2f1a0b9067987654321fedcba098765432189abcdef0123456789abcdef08,Y,5,README contract address documentation update suggested.
USR-011,Hannah Abbott,hannah.abbott@web3mail.com,addr_test1qp0zk8u70zwcwv7xkgrgylnazzfdgg92ad6exz579z0d8gx2uj6jqftd2r94e2rm6nfd8rg9rwuye2wj52we8yccmstsk3wav8,2026-09-03,d5e4f3a2b1c0078987654321fedcba098765432189abcdef0123456789abcdef09,Y,5,Multi-step ZK status loader verified.
USR-012,Ian Kasparov,ian.kasparov@snark-labs.org,addr_test1qqa2vxpzwajf44j5rvz88npqgt2eva9u3txq77m2hdhnchjewk3rsmwlm9pfgd2x8phzgdl5lycqvmgtrphkmrsu95hq80xqvt,2026-09-03,e6f5a4b3c2d1089987654321fedcba098765432189abcdef0123456789abcdef10,Y,4,Wallet button debouncing lock tested.
